Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020]
2615706,triunfense,LUCIANO FERNANDO DE SOUSA,191.518,14705,76.78,98.4,0.67,17.14,40748.33901,42441.73743,9639.82,
2615805,tupanatinguense,SEVERINO SOARES DOS SANTOS,934.801,26940,28.82,96.0,0.519,23.65,58318.85729,54689.03625,7276.42,
2615904,tuparetamense,DOMINGOS S&Aacute;VIO DA COSTA TORRES,189.509,8005,42.24,98.6,0.634,14.93,24446.26538,23864.86133,9582.62,
2616001,venturosense,EUDES TENORIO CAVALCANTI,336.107,17251,51.33,97.5,0.592,19.08,44512.02903,40869.5109,11860.98,
2616100,verdejantense,HAROLDO SILVA TAVARES,476.039,9169,19.26,95.0,0.605,6.9,26578.73918,31719.74387,7564.01,
2616183,vertentense do l&eacute;rio,RENATO LIMA DE SALES,73.631,7558,102.65,96.7,0.563,-,24038.25447,22271.32297,9892.69,
2616209,vertentense,ROMERO LEAL FERREIRA,196.325,21959,111.85,94.1,0.582,3.33,51439.44604,38326.18208,8533.6,
2200053,acau&atilde;nense,PAULO SERGIO DE SOUSA,1280.838,6420,5.01,97.5,0.528,23.81,16160.54709,15755.32908,8819.73,
2200251,alagoinense,JORISMAR JOS&Eacute; DA ROCHA,535.89,6819,12.72,93.6,0.531,10.87,15041.13957,15044.56951,8772.48,
2200277,alegretense,MARIA LILIAN DE ALENCAR,243.732,4634,19.01,96.7,0.585,17.86,14928.46141,13272.15253,11207.05,
2200301,longaense,HENRIQUE CESAR SARAIVA AREA LEAO COSTA,1743.331,13479,7.73,97.9,0.585,16,26948.2862,24944.33159,8341.81,
2200400,altoense,MAXWELL PIRES FERREIRA,957.232,47416,49.53,97.6,0.614,20.17,76062.83273,77121.44553,11770.84,
2200459,alvoradense,L&Eacute;CIO GUSTAVO DE SOUSA BEZERRA,2131.506,5322,2.5,97.4,0.578,-,12704.89339,16035.83468,13717.24,
2200509,amarantino,DIEGO LAMARTINE SOARES TEIXEIRA,1152.127,17235,14.96,97.2,0.598,11.24,34052.82746,33595.22255,10342.85,
2200608,angicalense,BRUNO FERREIRA SOBRINHO NETO,222.008,6827,30.75,96.9,0.63,-,19912.12001,17634.26604,9859.8,
2200707,anisiense,RAIMUNDO NEI ANTUNES RIBEIRO,337.877,9407,27.84,98.3,0.594,28.57,16654.77945,19520.38605,9298.27,
2200905,aroazense,MANOEL PORTELA DE CARVALHO NETO,821.212,5369,6.54,98.9,0.583,-,16919.61091,15119.63843,9489.48,
2200954,aroeirense,EDMILSON FRANCISCO DE DEUS,316.235,2690,8.51,94.2,0.519,-,10853.888,10178.68158,10072.06,
2201002,arraialense,ALDEMES BARROSO DA SILVA,682.727,4520,6.62,97.7,0.56,63.83,12540.64856,12655.55254,9336.01,
2201051,assun&ccedil;&atilde;oense,ANTONIO LUIZ NETO,1690.703,7452,4.41,97.9,0.499,7.94,19338.26341,19787.25086,7026.24,
2201101,avelino-lopense,AMINADAB PEREIRA DE SOUSA NETO,1220.371,10866,8.9,97.2,0.554,17.75,24904.75054,25656.75871,7913.71,
2201176,barra d&rsquo;alcantarense,MARDONIO SOARES LOPES,263.943,3995,15.14,96.0,0.577,21.74,13086.03847,12041.093,10170.31,
2201200,barrense,EDILSON SERVULO DE SOUSA,1722.507,47938,27.83,97.5,0.595,17.6,86163.37267,83754.54339,9950.15,
2201507,batalhense,JOS&Eacute; LUIZ ALVES MACHADO,1589.01,26300,16.55,99.2,0.545,12.31,49044.41092,44793.07328,8122.58,
2201556,bela  vistense,FRANCISCO DE SOUSA NETO,499.092,4091,8.2,97.6,0.576,33.33,12210.81061,11440.78072,10949.65,
2201572,belenense,ADEMAR ALU&Iacute;SIO DE CARVALHO,243.234,3423,14.07,97.0,0.551,-,14611.0105,12829.75964,11097.62,
2201606,beneditinense,JULLYVAN MENDES DE MESQUITA,937.098,9873,10.54,97.2,0.557,8.47,24497.56423,23772.13765,8471.44,
2201705,bertolinense,GERALDO FONSECA CORREIA,1216.116,5562,4.57,97.6,0.612,28.57,15518.13488,15996.48283,12631.63,
2201739,betanhense,FABIO DE CARVALHO MACEDO,579.576,6220,10.73,97.0,0.489,38.83,16817.08081,14918.93213,9205.41,
2201770,boa horense,FRANCIEUDO DO NASCIMENTO CARVALHO,336.954,6902,20.48,99.0,0.575,24.69,17305.49794,14785.13719,9327.21,
2201804,bocainense,ERIVELTO DE S&Aacute; BARROS,261.651,4078,15.59,97.4,0.632,-,12638.70018,11797.66217,11796.18,
2201903,bom-jesuense,NESTOR RENATO PINHEIRO ELVAS,5471.024,28799,5.26,97.9,0.668,9.84,79178.08164,71112.23929,44512.93,
2201919,bomprincipiense,LUCAS DA SILVA MORAES,523.142,5636,10.77,97.7,0.532,21.28,17127.634,17460.40523,11027.67,
2201929,bonfinense,PAULO HENRIQUE VIANA PINDAIBA,289.149,5913,20.45,97.6,0.542,12.82,14484.62014,12636.26994,8610.57,
2201945,boqueir&atilde;oense,GENIR FERREIRA DA SILVA,269.786,6545,24.26,98.8,0.56,24.1,17395.29617,17040.86349,8038.99,
2201960,brasileirense,CARMEN GEAN VERAS DE MENESES,880.836,8436,9.58,96.7,0.577,-,17701.48656,15972.80506,7817.64,
2201988,brejense,FABIANO FEITOSA LIRA,2267.327,3904,1.72,98.0,0.515,-,13199.13833,11973.93712,10111.06,
2202000,buritiense,RAIMUNDO NONATO LIMA PERCY J&Uacute;NIOR,690.54,19654,28.46,97.5,0.565,16.13,48728.6754,47101.81438,9743.51,
2202026,buritiense,JOS&Eacute; OLAVO MARINHO DE LOIOLA JUNIOR,2437.326,7434,3.05,98.3,0.574,34.48,19029.12282,17673.23909,8364.81,
2202059,cabeceirense,JOS&Eacute; DA SILVA FILHO,608.747,10212,16.78,98.3,0.583,18.02,21929.2054,19941.96965,7465.54,
2202075,cajazerense,CARLOS ALBERTO SILVESTRE DE SOUSA,514.106,3108,6.05,99.2,0.562,-,13049.22464,11668.39404,8489.11,
2202091,caldeir&atilde;o grandense,DOUGLAS FILIPE SOUSA GON&Ccedil;ALVES,467.083,5503,11.78,98.1,0.588,13.51,16301.69324,16306.39202,29732.7,
2202109,campinense,JOMARIO FERREIRA DOS SANTOS,783.842,4937,6.3,97.8,0.544,41.67,16078.52496,14353.52118,9334.61,
2202117,campo alegrense,ISRAEL ODILIO DA MATA,657.796,4616,7.02,97.5,0.537,16.95,15672.64701,14813.34709,9345.47,
2202133,campo grandense,FRANCISCO JOS&Eacute; BEZERRA,311.682,6020,19.31,98.5,0.56,26.67,15285.28836,14151.13115,10597.8,
2202208,campo-maiorense,JO&Atilde;O F&Eacute;LIX DE ANDRADE FILHO,1680.861,45793,27.24,98.3,0.656,15.5,126013.08141,116143.09156,14081.19,
2202251,canavieirense,JOAN DE ALBUQUERQUE ROCHA,2165.277,3414,1.58,99.6,0.583,-,13056.89324,12406.04161,9918.17,
2202307,canto-buritiense,MARCUS FELLIPE NUNES ALVES,4325.643,19365,4.48,96.6,0.576,22.56,43355.64482,43510.91874,12343.66,
2202406,capit&atilde;o-de-campense,FRANCISCO MEDEIROS DE CARVALHO FILHO,571.658,11100,19.42,98.6,0.583,7.87,28428.6271,25735.02893,8596.85,
2202455,gervasense,GABRIELA OLIVEIRA COELHO DA LUZ,1132.995,3974,3.51,98.7,0.553,57.69,12971.59045,12609.16642,9485.14,
2202505,caracolense,GILSON DIAS DE MACEDO FILHO,1610.959,10318,6.4,96.6,0.552,40.94,22206.51457,21687.87596,9389.49,
2202539,caraubense,JO&Atilde;O COELHO DE SANTANA,471.217,5630,11.95,93.9,0.505,-,15487.27767,13304.33687,9359.66,
2202554,caridadense,ANTONIEL DE SOUSA SILVA,498.793,5033,10.09,99.4,0.541,16.13,18848.95626,15734.62554,9877.66,
2202604,castelense,JOSE MAGNO SOARES DA SILVA,2378.847,19288,8.11,98.0,0.587,30.7,40397.05751,40490.66008,9453.46,
2202653,caxingoense,MAGNUM FERNANDO CARDOSO DOS SANTOS,491.093,5496,11.19,96.8,0.488,21.98,17074.0036,15928.10517,9220.78,
2202703,cocalense,RAIMUNDO NONATO FONTENELE CARDOSO,1294.133,28212,21.8,96.2,0.497,13.02,51963.96383,49855.82762,9092.64,
2202711,cocatelhense,KARYNE ARAG&Atilde;O CANSAN&Ccedil;&Atilde;O,310.291,4911,15.83,98.8,0.555,21.28,264.7739,16254.48632,9005.05,
2202729,cocalalvense,OSMAR DE SOUSA VIEIRA,324.856,6386,19.66,96.3,0.498,36.36,14932.21411,13487.03631,8828.28,
2202737,coivarense,MARCELINO ALMEIDA DE ARAUJO,484.46,4043,8.35,98.1,0.565,-,12496.15711,11912.9102,9645.55,
2202752,coloniense,SILZO BEZERRA DA SILVA,429.591,6150,14.32,98.8,0.628,14.08,17694.1347,15104.88096,9784.95,
2202778,coloniense,SELINDO MAURO CARNEIRO TAPETI SEGUNDO,950.193,6991,7.36,98.6,0.588,12.05,18975.35796,17220.53398,8172.49,
2202802,concei&ccedil;&atilde;onense,ALCIMIRO PINHEIRO DA COSTA,824.729,4932,5.98,96.8,0.589,-,14369.50405,13645.26965,12393.67,
2202851,coronelino,RAFAEL OLIVEIRA DA SILVA,1926.103,4250,2.21,96.9,0.546,21.28,13859.0412,12836.63545,9406.99,
2202901,correntino,GLADSON MURILO MASCARENHAS RIBEIRO,3048.747,27285,8.95,97.3,0.642,12.96,60684.39312,52967.81317,19340.59,
2203008,cristalandense,MOIS&Eacute;S DA CUNHA LEMOS FILHO,1202.896,7283,6.05,96.9,0.573,21.74,16982.87116,15378.65219,8306.38,
2203107,cristino-castrense,FELIPE FERREIRA DIAS,1845.698,10503,5.69,97.9,0.566,5.41,32075.55822,27704.3474,10948.51,
2203206,curimataense,VALDECIR RODRIGUES DE ALBUQUERQUE J&Uacute;NIOR,2344.949,11270,4.81,97.6,0.607,5.49,24055.05838,21122.68328,10662.46,
2203230,curralense,RAIMUNDO MARTINS DE SOUSA SANTOS SOBRINHO,3156.657,4844,1.53,98.6,0.542,14.93,17478.56297,14442.54499,66303.65,
2203271,curral novense,ABEL FRANCISCO DE OLIVEIRA JUNIOR,755.251,5073,6.72,95.6,0.527,34.88,16920.99427,13704.25895,12172.27,
2203305,morrinhense,RICARDO DE MOURA MELO,216.807,15853,73.12,97.9,0.618,14.85,32040.05026,29658.87834,14202.78,
2203354,arcoverdense,REGINALDO DE OLIVEIRA GOMES,1005.571,7054,7.01,97.5,0.561,-,N&atilde;o informado,N&atilde;o informado,8847.46,
2203404,dom-expedito-lopense,VALMIR BARBOSA DE ARA&Uacute;JO,218.808,6320,28.88,98.5,0.601,16.39,15381.40465,13068.66454,11379.18,
