,CDESTACAO,SGUF,ENTIDADE,CORPODAGUA,LATITUDE,LONGITUDE,MIN_2019,MIN_2020,MIN_2021,MED_2019,MED_2020,MED_2021,MAX_2019,MAX_2020,MAX_2021
301,AI19,PR,IAP,Rio Belém,-25.449713,-49.249322,,,,,,,,,
302,65007046,PR,Águas Paraná,Rio Atuba,-25.446818,-49.197909,,31.694976,26.266742,,43.568854,34.208941,,69.639984,42.102412
303,AI64,PR,IAP,RIO ÁGUA VERDE,-25.445782,-49.251248,,,,,,,,,
304,65006010,PR,Águas Paraná,Rio Iraí,-25.443629,-49.145348,,,,,,,,,
305,AI03,PR,IAP,Rio Palmital,-25.443372,-49.167595,,,,,,,,,
306,AI01,PR,IAP,Rio Iraí,-25.442307,-49.119122,,,,,,,,,
307,AI89,PR,IAP,Rio Verde Haras,-25.442287,-53.479631,,,,,,,,,
308,AI66,PR,IAP,Ro Vila Fany,-25.442171,-49.252742,,,,,,,,,
309,AI08,PR,IAP,Rio Atuba,-25.44208,-49.19962,,,,,,,,,
310,65003950,PR,Águas Paraná,Rio Iraí,-25.440947,-49.118486,,49.727716,,,65.692901,,,73.580302,
311,AI43,PR,IAP,Rio Iraizinho,-25.438969,-49.056878,,,,,,,,,
312,AI65,PR,IAP,Rio Ivo,-25.435976,-49.259433,,,,,,,,,
313,AI49,PR,IAP,Rio do Meio,-25.434027,-49.139532,,,,,,,,,
314,AI33,PR,IAP,Rio Cachoeira,-25.429611,-49.391673,,,,,,,,,
315,AI32,PR,IAP,Rio Passaúna,-25.427125,-49.388077,,,,,,,,,
316,65021800,PR,Águas Paraná,Rio Passaúna,-25.426305,-49.387783,,54.606521,57.506394,,64.298472,67.818383,,73.102181,75.857332
317,AI39,PR,IAP,Rio do Meio,-25.423976,-49.052874,,,,,,,,,
318,AI59,PR,IAP,Rio Uvu,-25.421861,-49.306956,,,,,,,,,
319,AI31,PR,IAP,Rio Cachoeirinha,-25.417042,-49.384931,,,,,,,,,
320,AI58,PR,IAP,Rio Barigui,-25.413754,-49.305399,,,,,,,,,
321,AI55,PR,IAP,Rio Atuba,-25.40982,-49.268457,,,,,,,,,
322,AI53 ou AI63,PR,IAP,Rio Bacacheri,-25.409153,-49.218647,,,,,,,,,
323,AI53 ou AI63,PR,IAP,Rio Mauricio,-25.409153,-49.218647,,,,,,,,,
324,65025500 ou AI42,PR,Águas Paraná,Rio Verde,-25.3926,-49.173362,,,,,,,,,
325,65025500 ou AI42,PR,IAP,Rio Palmital,-25.3926,-49.173362,,,,,,,,,
326,AI62,PR,IAP,Rio Bacacheri,-25.389444,-49.229722,,,,,,,,,
327,AI30,PR,IAP,Rio Passaúna,-25.386987,-49.360494,,,,,,,,,
328,AI56,PR,IAP,Rio Belém,-25.379041,-49.26666,,,,,,,,,
329,65011000,PR,Águas Paraná,Rio Belem,-25.378972,-49.266667,,,,,,,,,
330,65094500,PR,Águas Paraná,Rio Preto,-25.37758,-49.119778,,,,,,,,,
